Temp,Press
280,100031
280,100027
280,100027
280,100033
280,100034
280,100034
280,100025
280,100031
280,100028
280,100034
281,100032
281,100032
280,100034
281,100041
281,100029
281,100035
281,100038
281,100035
281,100035
281,100036
281,100036
281,100032
281,100030
281,100030
281,100036
281,100021
281,100030
281,100034
281,100034
281,100034
281,100031
281,100037
281,100031
281,100034
281,100031
281,100034
281,100034
281,100032
281,100035
281,100034
281,100035
281,100036
281,100032
281,100032
281,100039
281,100036
281,100030
281,100026
281,100030
281,100030
281,100031
281,100028
281,100034
281,100031
281,100030
281,100040
281,100034
281,100034
281,100034
281,100031
281,100035
281,100038
281,100025
281,100028
281,100031
282,100036
282,100030
282,100042
282,100043
282,100040
282,100033
282,100033
282,100043
282,100040
282,100037
282,100040
282,100031
282,100031
282,100031
282,100034
282,100034
282,100031
282,100034
282,100038
282,100039
282,100038
282,100035
282,100041
282,100043
282,100040
282,100042
282,100036
282,100037
282,100040
282,100040
282,100037
282,100046
282,100043
282,100034
282,100041
282,100037
282,100034
282,100031
282,100038
282,100035
282,100028
282,100035
282,100032
282,100038
282,100035
282,100039
282,100038
282,100038
282,100042
283,100039
283,100043
283,100042
283,100046
283,100040
283,100043
283,100040
283,100043
283,100043
283,100040
283,100040
283,100050
283,100047
283,100038
283,100042
283,100039
283,100041
283,100038
283,100044
283,100032
283,100035
283,100042
283,100043
283,100039
283,100039
283,100033
283,100039
283,100040
283,100033
283,100031
283,100037
283,100039
283,100040
283,100033
283,100037
283,100034
283,100037
283,100037
283,100031
283,100041
283,100028
283,100044
283,100038
283,100041
283,100038
283,100038
283,100039
283,100035
284,100043
284,100043
284,100040
284,100043
284,100037
284,100037
284,100037
284,100037
284,100040
284,100037
284,100034
284,100034
284,100043
284,100034
284,100031
284,100034
284,100034
284,100039
284,100031
284,100037
284,100039
284,100036
284,100040
284,100039
284,100039
284,100037
284,100039
284,100037
284,100037
284,100040
284,100040
284,100034
284,100043
284,100037
284,100031
284,100040
284,100041
284,100037
284,100041
284,100037
284,100034
284,100035
284,100038
284,100046
284,100052
284,100040
284,100035
284,100040
284,100040
284,100040
285,100043
285,100037
285,100037
285,100031
285,100040
285,100037
285,100034
285,100034
285,100034
285,100034
285,100031
285,100034
285,100034
285,100034
285,100037
285,100039
285,100032
285,100035
285,100035
285,100035
285,100039
285,100039
285,100045
285,100039
285,100033
285,100037
285,100043
285,100037
285,100037
285,100037
285,100037
285,100041
285,100037
285,100038
285,100041
285,100035
285,100035
285,100038
285,100029
285,100036
285,100032
285,100039
285,100038
285,100039
285,100032
285,100036
285,100039
285,100032
285,100036
285,100031
285,100034
286,100034
285,100040
286,100034
285,100034
285,100034
286,100031
286,100037
285,100034
286,100039
286,100034
286,100039
286,100039
286,100039
286,100040
286,100030
286,100037
286,100037
286,100040
286,100043
286,100037
286,100037
286,100040
286,100037
286,100037
286,100034
286,100037
286,100040
286,100037
286,100034
286,100034
286,100040
286,100038
286,100038
286,100032
286,100032
286,100029
286,100032
286,100039
286,100035
286,100041
286,100035
286,100037
286,100030
286,100043
286,100046
286,100034
286,100034
286,100034
286,100031
286,100034
286,100034
286,100028
286,100031
287,100039
287,100036
287,100042
287,100039
287,100036
287,100033
287,100040
287,100033
287,100036
287,100033
287,100030
287,100036
287,100031
287,100034
287,100037
287,100031
287,100031
287,100034
287,100035
287,100034
287,100038
287,100038
287,100035
287,100038
287,100032
287,100038
287,100041
287,100045
287,100042
287,100042
287,100045
287,100036
287,100035
287,100029
287,100036
287,100036
287,100046
287,100040
287,100030
287,100037
287,100040
287,100031
287,100034
287,100037
287,100037
287,100040
287,100031
288,100039
288,100042
287,100028
287,100028
288,100039
288,100039
288,100040
288,100036
288,100046
288,100043
288,100043
288,100036
288,100040
288,100043
288,100043
288,100043
288,100031
288,100034
288,100043
288,100037
288,100040
288,100043
288,100038
288,100038
288,100035
288,100035
288,100032
288,100032
288,100043
288,100032
288,100036
288,100039
288,100042
288,100040
288,100043
288,100037
288,100043
288,100043
288,100037
288,100044
288,100034
288,100040
288,100043
288,100034
288,100034
288,100037
288,100039
288,100039
288,100037
288,100042
288,100036
288,100039
288,100039
288,100042
289,100039
288,100039
288,100036
289,100036
289,100040
289,100043
289,100040
289,100040
289,100037
289,100037
289,100038
289,100034
289,100040
289,100037
289,100044
289,100038
289,100044
289,100041
289,100038
289,100041
289,100032
289,100042
289,100038
289,100036
289,100039
289,100030
289,100036
289,100033
289,100042
289,100037
289,100040
289,100034
289,100034
289,100037
289,100034
289,100037
289,100037
289,100037
289,100035
289,100038
289,100035
289,100034
289,100035
289,100035
289,100038
289,100032
289,100032
289,100035
289,100035
289,100037
289,100040
289,100037
290,100040
289,100040
290,100040
290,100040
290,100047
290,100043
289,100037
290,100037
290,100040
290,100044
290,100041
290,100044
290,100041
290,100038
290,100041
290,100038
290,100038
290,100029
290,100042
290,100035
290,100041
290,100040
290,100040
290,100032
290,100034
290,100034
290,100040
290,100040
290,100031
290,100040
290,100037
290,100037
290,100041
290,100041
290,100038
290,100041
290,100034
290,100041
290,100035
290,100035
290,100042
290,100040
290,100040
290,100039
290,100043
290,100034
290,100033
290,100031
290,100040
291,100040
291,100040
291,100046
290,100040
291,100049
291,100044
291,100040
291,100037
290,100034
291,100034
291,100037
291,100028
291,100044
291,100041
291,100041
291,100035
291,100038
291,100038
291,100035
291,100037
291,100039
291,100040
291,100040
291,100037
291,100040
291,100034
291,100037
291,100037
291,100037
291,100040
291,100037
291,100041
291,100034
291,100037
291,100041
291,100038
291,100042
291,100041
291,100045
291,100038
291,100042
291,100038
291,100039
291,100035
291,100049
291,100042
291,100039
291,100040
291,100043
291,100049
292,100043
291,100043
291,100040
291,100040
291,100040
292,100040
292,100043
292,100038
292,100037
292,100044
292,100044
292,100038
292,100041
292,100041
292,100041
292,100035
292,100038
292,100038
292,100042
292,100046
292,100036
292,100039
292,100032
292,100043
292,100037
292,100040
292,100040
292,100040
292,100040
292,100040
292,100034
292,100038
292,100037
292,100048
292,100035
292,100041
292,100042
292,100045
292,100035
292,100039
292,100045
292,100045
292,100042
292,100036
292,100048
292,100045
292,100046
292,100052
292,100046
292,100043
292,100043
292,100046
292,100046
293,100044
292,100043
293,100047
293,100041
292,100040
293,100044
293,100047
293,100047
293,100041
293,100042
293,100044
293,100045
293,100039
293,100042
293,100048
293,100045
293,100046
293,100045
293,100052
293,100039
293,100046
293,100049
293,100046
293,100046
293,100046
293,100043
293,100043
293,100046
293,100043
293,100043
293,100048
293,100044
293,100047
293,100051
293,100048
293,100041
293,100051
293,100045
293,100045
293,100036
293,100036
293,100042
293,100036
293,100042
293,100049
293,100037
293,100040
293,100046
293,100040
293,100034
293,100047
294,100051
293,100041
293,100047
293,100044
294,100051
294,100045
294,100048
294,100042
294,100045
294,100048
294,100043
294,100043
294,100043
294,100039
294,100042
294,100040
294,100043
294,100037
294,100043
294,100043
294,100044
294,100044
294,100044
294,100044
294,100044
294,100041
294,100041
294,100044
294,100045
294,100044
294,100035
294,100048
294,100045
294,100039
294,100043
294,100046
294,100042
294,100049
294,100040
294,100043
294,100046
294,100041
294,100038
294,100041
294,100041
294,100044
294,100041
294,100047
294,100047
294,100038
294,100035
294,100038
294,100035
294,100041
294,100038
294,100041
295,100042
295,100042
295,100045
294,100042
294,100042
295,100050
295,100039
295,100043
295,100039
295,100043
295,100050
295,100039
295,100041
295,100050
295,100047
295,100041
295,100041
295,100038
295,100041
295,100051
295,100048
295,100044
295,100042
295,100044
295,100045
295,100045
295,100048
295,100045
295,100045
295,100049
295,100042
295,100039
295,100043
295,100049
295,100043
295,100042
295,100040
295,100043
295,100043
295,100040
295,100040
295,100040
295,100046
295,100044
295,100044
295,100044
295,100047
295,100050
295,100041
295,100041
295,100035
295,100038
295,100041
295,100051
295,100048
295,100045
295,100042
295,100042
295,100042
295,100049
295,100039
295,100046
295,100042
295,100042
296,100040
295,100046
295,100043
295,100049
296,100046
295,100043
296,100044
296,100041
296,100043
296,100047
296,100044
296,100047
295,100043
296,100047
296,100044
296,100041
296,100044
296,100044
296,100044
296,100048
296,100044
296,100048
296,100048
296,100041
296,100048
296,100046
296,100045
296,100049
296,100049
296,100042
296,100047
296,100040
296,100053
296,100049
296,100040
296,100047
296,100037
296,100043
296,100044
296,100038
296,100041
296,100041
296,100041
296,100038
296,100041
296,100044
296,100041
296,100042
296,100035
296,100038
296,100038
296,100045
296,100042
296,100042
296,100041
296,100042
296,100042
296,100040
296,100042
296,100046
296,100043
296,100046
296,100043
296,100049
296,100036
297,100050
296,100046
296,100046
296,100037
297,100044
296,100040
297,100041
297,100047
297,100041
297,100047
297,100047
297,100047
297,100044
297,100047
297,100038
297,100044
297,100038
297,100042
297,100045
297,100041
297,100044
297,100038
297,100038
297,100044
297,100045
297,100039
297,100042
297,100045
297,100042
297,100049
297,100049
297,100043
297,100040
297,100049
297,100043
297,100034
297,100043
297,100040
297,100047
297,100040
297,100047
297,100044
297,100044
297,100041
297,100041
297,100044
297,100044
297,100050
297,100044
297,100039
297,100045
297,100042
297,100045
297,100039
297,100046
297,100042
297,100045
297,100045
297,100040
297,100043
297,100040
297,100037
297,100040
297,100037
298,100044
298,100044
298,100047
298,100038
298,100047
298,100053
298,100038
298,100047
298,100044
298,100044
298,100047
298,100053
298,100047
298,100038
298,100041
298,100041
298,100047
298,100046
298,100047
298,100047
298,100038
298,100035
298,100046
298,100049
298,100049
298,100049
298,100047
298,100046
298,100037
298,100044
298,100047
298,100044
298,100047
298,100043
298,100044
298,100041
298,100041
298,100044
298,100047
298,100044
298,100041
298,100041
298,100041
298,100038
298,100041
298,100038
298,100042
298,100049
298,100042
298,100046
298,100042
298,100039
298,100042
298,100046
298,100043
298,100040
298,100040
298,100036
298,100036
298,100041
298,100044
298,100041
298,100044
299,100035
298,100038
299,100041
299,100041
299,100035
299,100044
299,100048
299,100042
299,100038
299,100039
299,100039
299,100039
299,100032
299,100040
299,100036
299,100036
299,100043
299,100037
299,100046
299,100043
299,100034
299,100040
299,100041
299,100040
299,100035
299,100044
299,100038
299,100038
299,100037
299,100039
299,100045
299,100045
299,100038
299,100032
299,100051
299,100045
299,100042
299,100048
299,100039
299,100042
299,100045
299,100039
299,100042
299,100039
299,100034
299,100040
299,100037
299,100039
299,100043
299,100043
299,100041
299,100041
299,100044
299,100044
299,100035
299,100038
299,100031
299,100035
300,100041
300,100038
300,100038
300,100035
300,100041
299,100035
300,100036
300,100046
300,100043
300,100039
300,100039
300,100039
300,100038
300,100042
300,100043
300,100047
300,100033
300,100043
300,100038
300,100041
300,100043
300,100044
300,100041
300,100035
300,100034
300,100047
300,100044
300,100045
300,100032
300,100045
300,100039
300,100038
300,100042
300,100039
300,100042
300,100041
300,100039
300,100036
300,100040
300,100040
300,100040
300,100039
300,100031
300,100030
300,100034
300,100031
300,100034
300,100035
300,100038
300,100034
300,100038
300,100041
300,100035
300,100035
300,100035
300,100032
300,100035
300,100032
300,100035
300,100035
300,100035
300,100042
300,100038
300,100035
300,100035
300,100036
300,100036
300,100030
300,100033
300,100036
301,100040
301,100041
301,100043
301,100041
301,100044
301,100040
301,100047
301,100038
301,100044
301,100038
301,100041
301,100044
301,100041
301,100041
301,100041
301,100041
301,100048
301,100044
301,100044
301,100047
301,100048
301,100045
301,100048
301,100052
301,100048
301,100049
301,100048
301,100044
301,100050
301,100044
301,100049
301,100050
301,100047
301,100047
301,100047
301,100050
301,100050
301,100048
301,100047
301,100047
301,100048
301,100049
301,100044
301,100045
301,100042
301,100042
301,100049
301,100048
302,100050
302,100050
302,100053
301,100049
302,100050
302,100047
302,100050
302,100050
302,100044
302,100050
302,100050
302,100053
302,100050
302,100054
302,100053
302,100051
302,100060
302,100057
302,100050
302,100051
302,100048
302,100051
302,100053
302,100053
302,100049
302,100053
302,100059
302,100059
302,100047
302,100050
302,100050
302,100047
302,100051
302,100048
302,100044
302,100048
302,100041
302,100057
302,100047
302,100054
302,100048
302,100045
302,100044
302,100042
302,100045
302,100048
302,100051
302,100045
302,100048
302,100045
302,100051
302,100051
302,100048
302,100048
303,100050
303,100047
302,100045
303,100050
303,100047
303,100053
303,100050
303,100053
303,100047
303,100050
303,100047
303,100047
303,100041
303,100044
303,100051
303,100054
303,100041
303,100041
303,100051
303,100054
303,100054
303,100051
303,100052
303,100049
303,100048
303,100056
303,100056
303,100053
303,100053
303,100050
303,100050
303,100050
303,100047
303,100047
303,100047
303,100053
303,100044
303,100047
303,100048
303,100054
303,100050
303,100057
303,100048
303,100051
303,100047
303,100054
303,100057
303,100052
303,100051
304,100053
303,100048
303,100048
303,100046
304,100056
304,100056
304,100053
304,100053
304,100053
304,100050
304,100056
304,100047
304,100056
304,100053
304,100053
304,100047
304,100053
304,100055
304,100047
304,100050
304,100046
304,100047
304,100046
304,100052
304,100049
304,100052
304,100049
304,100053
304,100053
304,100049
304,100047
304,100047
304,100047
304,100050
304,100047
304,100047
304,100047
304,100050
304,100050
304,100050
304,100054
304,100047
304,100050
304,100048
304,100054
304,100051
304,100052
304,100048
304,100052
304,100052
304,100048
304,100052
304,100049
304,100045
304,100053
304,100040
304,100050
305,100050
305,100056
305,100050
304,100043
305,100044
305,100047
305,100047
305,100044
305,100047
305,100047
305,100055
305,100044
305,100044
305,100049
305,100049
305,100052
305,100052
305,100049
305,100053
305,100053
305,100042
305,100050
305,100050
305,100057
305,100043
305,100050
305,100053
305,100047
305,100047
305,100047
305,100047
305,100048
305,100047
305,100051
305,100051
305,100048
305,100045
305,100052
305,100045
305,100048
305,100052
305,100048
305,100052
305,100052
305,100055
305,100049
305,100047
305,100047
305,100044
305,100047
305,100047
305,100047
305,100050
305,100047
305,100047
306,100053
305,100050
306,100047
306,100048
306,100051
305,100047
306,100048
306,100045
306,100048
306,100048
306,100045
306,100048
306,100053
306,100053
306,100052
306,100046
306,100050
306,100053
306,100056
306,100050
306,100050
306,100053
306,100053
306,100044
306,100050
306,100050
306,100047
306,100047
306,100047
306,100047
306,100050
306,100044
306,100048
306,100051
306,100051
306,100052
306,100043
306,100046
306,100049
306,100047
306,100046
306,100053
306,100053
306,100050
306,100050
306,100056
306,100043
306,100053
306,100053
306,100047
306,100044
307,100063
306,100050
306,100054
306,100047
307,100051
306,100053
307,100051
307,100052
307,100055
307,100048
307,100055
307,100049
307,100049
307,100049
307,100043
307,100050
307,100040
307,100049
307,100053
307,100047
307,100047
307,100053
307,100050
307,100044
307,100047
307,100047
307,100050
307,100044
307,100044
307,100047
307,100044
307,100048
307,100051
307,100049
307,100046
307,100046
307,100046
307,100053
307,100043
307,100046
307,100055
307,100046
307,100052
307,100052
307,100050
307,100052
307,100047
307,100050
307,100044
307,100050
307,100047
307,100038
307,100041
307,100041
307,100050
307,100053
308,100048
308,100048
308,100054
307,100047
307,100048
308,100052
307,100045
308,100045
308,100049
308,100045
307,100042
308,100052
308,100049
308,100050
308,100043
308,100046
308,100047
308,100047
308,100047
308,100044
308,100050
308,100044
308,100047
308,100044
308,100050
308,100044
308,100047
308,100047
308,100047
308,100044
308,100044
308,100047
308,100038
308,100043
308,100049
308,100049
308,100046
308,100046
308,100046
308,100049
308,100046
308,100046
308,100050
308,100053
308,100053
308,100049
308,100050
308,100044
308,100050
308,100050
308,100050
308,100047
308,100047
308,100047
308,100047
308,100044
308,100047
308,100048
308,100048
308,100044
308,100051
309,100055
308,100048
309,100056
308,100048
309,100052
309,100056
309,100059
309,100050
309,100056
309,100046
309,100050
309,100050
309,100050
309,100054
309,100047
309,100047
309,100050
309,100047
309,100048
309,100051
309,100055
309,100054
309,100048
309,100054
309,100058
309,100045
309,100045
309,100049
309,100055
309,100046
309,100049
309,100050
309,100049
309,100046
309,100046
309,100047
309,100047
309,100050
309,100054
309,100050
309,100051
309,100047
309,100044
309,100048
309,100045
309,100048
309,100048
309,100048
309,100048
309,100046
309,100048
309,100048
309,100049
309,100043
309,100052
309,100049
309,100040
309,100040
309,100049
310,100053
309,100046
310,100047
310,100044
310,100047
310,100047
310,100047
310,100051
310,100051
310,100044
310,100047
310,100048
310,100047
310,100047
310,100055
310,100054
310,100052
310,100052
310,100042
310,100052
310,100049
310,100053
310,100053
310,100047
310,100053
310,100047
310,100047
310,100050
310,100050
310,100047
310,100054
310,100051
310,100048
310,100054
310,100051
310,100048
310,100044
310,100048
310,100048
310,100048
310,100055
310,100048
310,100045
310,100046
310,100048
310,100049
310,100052
310,100058
310,100051
310,100049
310,100055
310,100047
310,100049
310,100050
310,100052
311,100054
310,100046
311,100051
311,100051
311,100051
311,100051
311,100048
311,100048
311,100048
311,100045
311,100048
311,100045
311,100052
311,100045
311,100052
311,100045
311,100049
311,100049
311,100047
311,100043
311,100046
311,100053
311,100040
311,100053
311,100050
311,100047
311,100053
311,100050
311,100048
311,100053
311,100051
311,100050
311,100051
311,100054
311,100051
311,100042
311,100045
311,100048
311,100048
311,100051
311,100058
311,100048
311,100056
311,100046
311,100043
311,100042
311,100052
311,100050
311,100050
311,100052
312,100057
311,100056
312,100054
311,100050
311,100047
312,100054
311,100044
311,100050
312,100057
312,100057
312,100054
312,100048
312,100051
312,100048
312,100054
312,100045
312,100045
312,100049
312,100048
312,100053
312,100046
312,100049
312,100043
312,100039
312,100050
312,100044
312,100043
312,100043
312,100044
312,100044
312,100047
312,100047
312,100041
312,100041
312,100044
312,100048
312,100048
312,100045
312,100048
312,100044
312,100048
312,100048
312,100048
312,100045
312,100048
312,100045
312,100055
312,100045
312,100045
312,100045
312,100052
312,100042
312,100038
312,100045
312,100045
312,100042
312,100043
312,100035
312,100043
312,100043
312,100041
312,100044
312,100047
312,100044
312,100044
312,100047
313,100048
313,100051
313,100045
313,100051
313,100042
313,100045
313,100045
313,100045
313,100042
313,100039
313,100046
313,100039
313,100042
313,100047
313,100040
313,100036
313,100047
313,100047
313,100040
313,100047
313,100044
313,100048
313,100045
313,100045
313,100042
313,100047
