Time,Temp,Pressure
100000000,170,98164
200000000,170,98161
300000000,171,98169
400000000,171,98163
500000000,171,98173
600000000,171,98161
700000000,171,98164
800000000,171,98162
900000000,171,98173
1000000000,171,98165
1100000000,171,98157
1200000000,171,98166
1300000000,171,98157
1400000000,171,98158
1500000000,171,98167
1600000000,172,98171
1700000000,172,98166
1800000000,172,98166
1900000000,172,98160
2000000000,172,98174
2100000000,172,98167
2200000000,172,98166
2300000000,172,98160
2400000000,172,98166
2500000000,172,98166
2600000000,172,98155
2700000000,172,98169
2800000000,172,98161
2900000000,172,98169
3000000000,172,98167
3100000000,172,98164
3200000000,172,98159
3300000000,172,98170
3400000000,172,98161
3500000000,172,98159
3600000000,173,98159
3700000000,173,98165
3800000000,173,98160
3900000000,173,98163
4000000000,173,98161
4100000000,173,98161
4200000000,173,98158
4300000000,173,98164
4400000000,173,98162
4500000000,173,98162
4600000000,173,98156
4700000000,173,98156
4810000000,173,98159
4900000000,173,98168
5000000000,173,98163
5100000000,173,98170
5200000000,173,98162
5300000000,173,98162
5400000000,173,98162
5500000000,173,98162
5600000000,174,98172
5700000000,174,98172
5800000000,174,98157
5900000000,174,98166
6000000000,174,98167
6100000000,174,98167
6200000000,174,98168
6300000000,174,98167
6400000000,174,98159
6500000000,174,98166
6600000000,174,98161
6700000000,174,98165
6800000000,174,98166
6900000000,174,98168
7000000000,174,98157
7100000000,175,98171
7200000000,175,98170
7300000000,175,98165
7400000000,175,98165
7500000000,175,98163
7600000000,175,98165
7700000000,175,98163
7800000000,175,98160
7900000000,175,98166
8000000000,175,98165
8100000000,175,98154
8200000000,175,98168
8300000000,176,98163
8400000000,176,98160
8500000000,176,98167
8600000000,176,98167
8700000000,176,98161
8800000000,176,98159
8900000000,176,98169
9000000000,176,98166
9100000000,176,98174
9200000000,176,98158
9300000000,176,98161
9400000000,176,98156
9500000000,176,98162
9600000000,177,98163
9700000000,176,98165
9800000000,177,98160
9900000000,177,98166
10000000000,177,98167
10100000000,177,98164
10200000000,177,98158
10300000000,177,98168
10400000000,177,98165
10500000000,177,98165
10600000000,177,98154
