Time,Temp,Pressure
100000000,234,99314
200000000,234,99318
300000000,234,99309
400000000,234,99300
500000000,234,99309
600000000,234,99321
700000000,234,99321
800000000,234,99318
900000000,234,99315
1000000000,234,99321
1100000000,234,99326
1200000000,234,99318
1300000000,234,99321
1400000000,234,99318
1500000000,234,99321
1600000000,234,99318
1700000000,234,99315
1800000000,234,99318
1900000000,234,99321
2000000000,234,99322
2100000000,234,99318
2200000000,234,99315
2300000000,234,99315
2400000000,234,99319
2500000000,234,99322
2600000000,234,99315
2700000000,234,99319
2800000000,234,99313
2900000000,234,99322
3000000000,234,99325
3100000000,234,99316
3200000000,234,99322
3300000000,234,99321
3400000000,234,99322
3500000000,234,99314
3600000000,234,99322
3700000000,234,99311
3800000000,234,99319
3900000000,234,99326
4000000000,234,99319
4100000000,234,99322
4200000000,234,99325
4300000000,234,99322
4400000000,234,99322
4500000000,234,99325
4600000000,234,99319
4700000000,234,99326
4800000000,234,99317
4900000000,234,99317
5000000000,234,99317
8800000000,234,99316
8820000000,234,99319
8840000000,234,99316
8860000000,235,99322
8881000000,235,99328
8901000000,235,99320
8921000000,235,99319
8941000000,235,99323
8961000000,235,99323
8982000000,235,99323
9002000000,235,99323
9022000000,235,99323
9042000000,235,99324
9062000000,235,99318
9083000000,235,99321
9103000000,235,99318
9123000000,235,99321
9143000000,235,99314
9163000000,235,99316
9183000000,235,99312
9204000000,235,99319
9224000000,235,99319
9244000000,235,99316
9264000000,235,99322
9285000000,235,99322
9305000000,235,99325
9325000000,235,99325
9345000000,235,99310
9366000000,235,99316
9386000000,235,99316
9406000000,235,99319
9426000000,235,99322
9447000000,235,99330
9467000000,235,99325
9487000000,235,99325
9507000000,235,99325
9528000000,235,99326
9548000000,235,99319
9568000000,235,99316
9588000000,235,99319
9608000000,235,99319
9628000000,235,99321
9649000000,235,99319
9669000000,235,99320
9689000000,235,99317
9709000000,235,99323
9729000000,235,99323
9800000000,235,99316
9900000000,235,99324
10000000000,235,99318
10100000000,235,99317
10200000000,235,99324
10300000000,235,99326
10400000000,235,99326
10500000000,235,99324
10600000000,235,99323
10700000000,235,99326
10800000000,235,99320
10900000000,235,99317
11000000000,235,99324
11100000000,235,99329
11200000000,235,99326
11300000000,235,99320
11400000000,235,99321
11500000000,235,99326
11600000000,235,99324
11700000000,235,99321
11800000000,235,99315
11900000000,235,99321
12000000000,235,99324
12100000000,235,99332
12200000000,235,99324
12300000000,235,99321
12400000000,235,99312
12500000000,235,99321
12600000000,235,99315
12700000000,235,99306
12800000000,235,99324
12900000000,235,99318
13000000000,235,99318
13100000000,235,99326
13200000000,235,99318
13300000000,235,99318
13400000000,235,99324
13500000000,235,99324
13600000000,235,99329
13700000000,235,99324
13800000000,235,99326
13900000000,235,99326
14000000000,235,99324
14100000000,235,99329
14200000000,235,99322
14300000000,235,99322
14400000000,235,99322
14500000000,235,99319
14600000000,235,99318
14700000000,235,99318
14800000000,235,99321
14900000000,235,99319
15000000000,235,99325
15100000000,235,99325
15200000000,235,99319
15300000000,235,99322
15400000000,235,99327
15500000000,235,99316
15600000000,235,99327
15700000000,235,99327
15800000000,235,99322
15900000000,235,99325
16000000000,235,99316
16100000000,235,99325
16200000000,235,99325
16300000000,235,99322
16400000000,235,99322
16500000000,235,99316
16600000000,235,99316
16700000000,235,99319
16800000000,235,99328
16900000000,235,99326
17000000000,235,99323
17100000000,235,99323
17200000000,235,99331
17300000000,235,99326
17400000000,235,99320
17500000000,235,99323
17600000000,235,99320
17700000000,235,99326
17800000000,235,99328
17900000000,235,99323
18000000000,235,99311
18100000000,235,99313
18200000000,235,99323
18300000000,235,99323
18400000000,235,99323
18500000000,235,99324
18600000000,235,99320
18700000000,235,99329
18800000000,235,99326
18900000000,235,99329
19000000000,235,99326
19100000000,235,99323
19200000000,235,99315
19300000000,235,99315
19400000000,235,99321
19500000000,235,99317
19600000000,235,99318
19700000000,235,99324
19800000000,235,99324
19900000000,235,99329
20000000000,235,99321
20100000000,235,99324
20200000000,235,99326
20300000000,235,99324
20400000000,235,99316
20500000000,235,99324
20600000000,235,99326
20700000000,235,99324
20800000000,235,99321
20900000000,235,99319
21000000000,236,99323
21100000000,235,99321
21200000000,235,99319
21300000000,235,99316
21400000000,235,99316
21500000000,235,99313
21600000000,235,99316
21700000000,236,99322
21800000000,235,99319
21900000000,235,99319
22000000000,236,99322
22100000000,236,99316
22200000000,235,99319
22300000000,235,99316
22400000000,235,99316
22500000000,236,99319
22600000000,235,99316
22700000000,236,99323
22800000000,236,99326
22900000000,235,99319
23000000000,235,99316
23100000000,236,99326
23200000000,236,99323
23300000000,236,99319
23400000000,236,99326
23500000000,236,99328
23600000000,236,99319
23700000000,236,99316
23800000000,236,99316
23900000000,236,99328
24000000000,236,99320
24100000000,236,99320
24200000000,236,99311
24300000000,235,99316
24400000000,236,99319
24500000000,236,99323
24600000000,236,99317
24700000000,236,99323
24800000000,236,99313
24900000000,236,99323
25000000000,236,99319
25100000000,236,99317
25200000000,236,99323
25300000000,236,99317
25400000000,236,99326
25500000000,236,99311
25600000000,236,99323
25700000000,236,99320
25800000000,236,99319
25900000000,236,99321
26000000000,236,99317
26100000000,236,99313
26200000000,236,99323
26300000000,236,99314
26400000000,236,99314
26500000000,236,99320
26600000000,236,99329
26700000000,236,99320
26800000000,236,99324
26900000000,236,99311
27000000000,236,99321
27100000000,236,99321
27200000000,236,99320
27300000000,236,99321
27400000000,236,99326
27500000000,236,99321
27600000000,236,99321
27700000000,236,99319
27800000000,236,99324
27900000000,236,99321
28000000000,236,99326
28100000000,236,99321
28200000000,236,99315
28300000000,236,99325
28400000000,236,99324
28500000000,236,99321
28600000000,236,99321
28700000000,236,99318
28800000000,236,99325
28900000000,236,99325
29000000000,236,99318
29100000000,236,99316
29200000000,236,99318
29300000000,236,99324
29400000000,236,99318
29500000000,236,99321
29600000000,236,99321
29700000000,236,99316
29800000000,236,99327
29900000000,236,99316
30000000000,236,99327
30100000000,236,99319
30200000000,236,99319
30300000000,236,99323
30400000000,236,99316
30500000000,236,99316
30600000000,236,99325
30700000000,236,99316
30800000000,236,99322
30900000000,236,99319
31000000000,236,99321
31100000000,236,99325
31200000000,236,99320
31300000000,236,99331
31400000000,236,99323
31500000000,236,99326
31600000000,236,99320
31700000000,236,99326
31800000000,236,99320
31900000000,236,99323
32000000000,236,99320
32100000000,236,99323
32200000000,236,99323
32300000000,236,99328
32400000000,236,99326
32500000000,236,99320
32600000000,236,99324
32700000000,236,99327
32800000000,236,99324
32900000000,236,99318
33000000000,236,99324
33100000000,236,99318
33200000000,236,99323
33300000000,236,99321
33400000000,236,99318
33500000000,236,99326
33600000000,236,99318
33700000000,236,99318
33800000000,236,99321
33900000000,236,99321
34000000000,236,99318
34100000000,236,99318
34200000000,236,99325
34300000000,236,99315
34400000000,236,99322
34500000000,236,99325
34600000000,236,99327
34700000000,236,99324
34800000000,236,99321
34900000000,236,99319
35000000000,236,99322
35100000000,236,99324
35200000000,236,99322
35300000000,236,99322
35400000000,236,99322
35500000000,236,99325
35600000000,236,99327
35700000000,236,99325
35800000000,236,99319
35900000000,236,99319
36000000000,236,99313
36100000000,236,99316
36200000000,236,99319
36300000000,236,99322
36400000000,236,99322
36500000000,236,99322
36600000000,236,99319
36700000000,236,99316
36800000000,236,99319
36900000000,236,99316
37000000000,236,99316
37100000000,236,99319
37200000000,236,99313
37300000000,236,99319
37400000000,237,99323
37500000000,236,99316
37600000000,236,99313
37700000000,236,99319
37800000000,236,99313
37900000000,236,99313
38000000000,236,99316
38100000000,237,99318
38200000000,236,99307
38300000000,237,99323
38400000000,237,99321
38500000000,236,99313
38600000000,236,99313
38700000000,236,99322
38800000000,237,99326
38900000000,237,99326
39000000000,237,99326
39100000000,237,99321
39200000000,237,99321
39300000000,236,99316
39400000000,237,99323
39500000000,237,99328
39600000000,236,99313
39700000000,237,99321
39800000000,237,99326
39900000000,237,99323
40000000000,237,99323
40100000000,237,99326
40200000000,237,99320
40300000000,237,99323
40400000000,237,99321
40500000000,237,99323
40600000000,237,99328
40700000000,237,99323
40800000000,237,99326
40900000000,237,99326
41000000000,237,99326
41100000000,237,99321
41200000000,237,99332
41300000000,237,99331
41400000000,237,99329
41500000000,237,99328
41600000000,237,99330
41700000000,237,99321
41800000000,237,99326
41900000000,237,99327
42000000000,237,99328
42100000000,237,99324
42200000000,237,99324
42300000000,237,99330
42400000000,237,99327
42500000000,237,99330
42600000000,237,99333
42700000000,237,99324
42800000000,237,99325
42900000000,237,99336
43000000000,237,99325
43100000000,237,99333
43200000000,237,99330
43300000000,237,99327
43400000000,237,99319
43500000000,237,99322
43600000000,237,99322
43700000000,237,99319
43800000000,237,99322
43900000000,237,99330
44000000000,237,99325
44100000000,237,99326
44200000000,237,99322
44300000000,237,99328
44400000000,237,99328
44500000000,237,99326
44600000000,237,99326
44700000000,237,99326
44800000000,237,99322
44900000000,237,99331
45000000000,237,99326
45100000000,237,99328
45200000000,237,99328
45300000000,237,99317
45400000000,237,99326
45500000000,237,99323
45600000000,237,99323
45700000000,237,99320
45800000000,237,99314
45900000000,237,99320
46000000000,237,99326
46100000000,237,99328
46200000000,237,99320
46300000000,237,99326
46400000000,237,99326
46500000000,237,99323
46600000000,237,99324
46700000000,237,99326
46800000000,237,99320
46900000000,237,99323
47000000000,237,99323
47100000000,237,99320
47200000000,237,99324
47300000000,237,99326
47400000000,237,99320
47500000000,237,99318
47600000000,237,99318
47700000000,237,99321
47800000000,237,99326
47900000000,237,99315
48000000000,237,99324
48100000000,237,99326
48200000000,237,99321
48300000000,237,99324
48400000000,237,99327
48500000000,237,99318
48600000000,237,99324
48700000000,237,99324
48800000000,237,99320
48900000000,237,99329
49000000000,237,99330
49100000000,237,99336
49200000000,237,99327
49300000000,237,99327
49400000000,237,99322
49500000000,237,99322
49600000000,238,99326
49700000000,237,99325
49800000000,237,99327
49900000000,238,99333
50000000000,237,99325
50100000000,238,99327
50200000000,238,99330
50300000000,237,99327
50400000000,237,99325
50500000000,238,99327
50600000000,237,99319
50700000000,237,99320
50800000000,238,99320
50900000000,238,99323
51000000000,238,99327
51100000000,237,99319
51200000000,237,99320
51300000000,237,99325
51400000000,237,99323
51500000000,237,99323
51600000000,238,99323
51700000000,237,99325
51800000000,238,99327
51900000000,238,99338
52000000000,238,99333
52100000000,238,99331
52200000000,238,99320
52300000000,238,99330
52400000000,238,99328
52500000000,238,99331
52600000000,238,99330
52700000000,238,99328
52800000000,238,99320
52900000000,238,99327
53000000000,238,99326
53100000000,238,99323
53200000000,238,99323
53300000000,238,99323
53400000000,238,99318
53500000000,238,99326
53600000000,238,99326
53700000000,238,99320
53800000000,238,99323
53900000000,238,99318
54000000000,238,99320
54100000000,238,99318
54200000000,238,99320
54300000000,238,99318
54400000000,238,99323
54500000000,238,99326
54600000000,238,99321
54700000000,238,99315
54800000000,238,99315
54900000000,238,99326
55000000000,238,99324
55100000000,238,99324
55200000000,238,99323
55300000000,238,99326
55400000000,238,99324
55500000000,238,99318
55600000000,238,99324
55700000000,238,99324
