Time,Temp,Pressure
200000000,303,99056
300000000,303,99053
400000000,303,99059
500000000,303,99066
600000000,303,99062
700000000,303,99053
800000000,303,99054
900000000,303,99051
1100000000,303,99058
1200000000,303,99060
1300000000,303,99061
1400000000,303,99055
1500000000,303,99052
1600000000,303,99058
1700000000,303,99055
1800000000,303,99055
1900000000,303,99052
2100000000,303,99055
2200000000,303,99052
2300000000,303,99055
2400000000,303,99053
2500000000,303,99053
2600000000,303,99056
2700000000,303,99059
2800000000,303,99053
2900000000,303,99053
3100000000,303,99047
3200000000,303,99056
3300000000,303,99052
3400000000,303,99055
3500000000,303,99060
3600000000,303,99047
3700000000,303,99052
3800000000,303,99050
3900000000,303,99049
4100000000,303,99044
4200000000,303,99052
4300000000,303,99049
4400000000,303,99050
4500000000,303,99065
4600000000,303,99050
4700000000,303,99052
4800000000,303,99050
4900000000,303,99059
5100000000,303,99042
5200000000,303,99052
5300000000,303,99058
5400000000,302,99056
5500000000,302,99052
5600000000,302,99050
5700000000,302,99047
5800000000,302,99049
5900000000,301,99050
6100000000,301,99049
6200000000,301,99048
6300000000,301,99055
6400000000,301,99054
6500000000,301,99048
6600000000,301,99050
6700000000,301,99048
6800000000,300,99051
6900000000,300,99053
7100000000,300,99054
7200000000,300,99049
7300000000,300,99055
7400000000,300,99050
7500000000,300,99053
7600000000,300,99053
7700000000,299,99049
7800000000,299,99044
7900000000,299,99049
8100000000,299,99052
8200000000,299,99052
8300000000,299,99052
8400000000,299,99056
8500000000,300,99057
8600000000,300,99067
8700000000,300,99058
8800000000,300,99061
8900000000,300,99058
9100000000,300,99058
9200000000,300,99055
9300000000,300,99052
9400000000,300,99049
9500000000,300,99052
9600000000,300,99056
9700000000,300,99053
9800000000,300,99056
9900000000,300,99060
10100000000,300,99056
10200000000,300,99060
10300000000,300,99057
10400000000,300,99055
10500000000,300,99055
10600000000,300,99058
10700000000,300,99058
10800000000,300,99052
10900000000,300,99055
11100000000,300,99055
11200000000,300,99055
11300000000,300,99074
11400000000,300,99041
11500000000,300,99049
11600000000,300,99038
11700000000,299,99056
11800000000,299,99063
11900000000,299,99055
12100000000,298,99053
12200000000,298,99055
12300000000,298,99059
12400000000,298,99056
12500000000,297,99052
12600000000,297,99043
12700000000,297,99049
12800000000,297,99044
12900000000,297,99055
13100000000,297,99051
13200000000,297,99051
13300000000,297,99048
13400000000,297,99054
13500000000,297,99057
13600000000,296,99052
13700000000,296,99055
13800000000,296,99050
13900000000,296,99055
14100000000,295,99058
14200000000,295,99059
14300000000,295,99057
14400000000,294,99051
14500000000,294,99050
14600000000,294,99044
14700000000,294,99057
14800000000,293,99051
14900000000,293,99059
15100000000,293,99057
15200000000,293,99055
15300000000,293,99058
15400000000,293,99055
15500000000,293,99049
15600000000,293,99043
15700000000,292,99025
15800000000,292,99067
15900000000,292,99041
16000000000,291,99030
16100000000,291,99039
16200000000,290,99044
16300000000,290,99058
16400000000,289,99040
16500000000,289,99048
16600000000,288,99061
16700000000,288,99066
16800000000,287,99053
16900000000,287,99036
17000000000,286,99051
17100000000,285,99057
17200000000,285,99057
17300000000,284,99032
17400000000,284,99055
17500000000,284,99070
17600000000,283,99058
17700000000,282,99048
17800000000,282,99061
17900000000,282,99048
18100000000,281,99053
18200000000,281,99067
18300000000,280,99049
18400000000,280,99047
18500000000,280,99041
