Time,AccelX,AccelY,AccelZ
1.675,-94.838,1.759,0.016
1.7,-95.487,3.083,0.87
1.725,-95.409,3.259,-0.045
1.75,-95.226,3.08,0.09
1.775,-95.214,3.244,0.748
1.8,-95.161,3.369,1.159
1.825,-96.248,3.533,1.275
1.85,-95.648,3.488,1.701
1.875,-96.631,3.596,1.406
1.9,-96.068,3.094,1.449
1.925,-96.94,2.859,1.437
1.95,-97.753,2.527,1.086
1.975,-97.494,2.286,0.881
2,-99.541,2.632,1.105
2.025,-100.151,0.452,1.185
2.05,-98.444,0.808,-0.21
2.075,-98.603,1.795,0.353
2.1,-97.871,2.793,-0.197
2.125,-98.19,2.001,-0.45
2.15,-99.144,1.778,0.477
2.175,-99.08,2.645,-0.171
2.2,-99.506,1.86,-0.622
2.225,-99.91,2.634,1.004
2.25,-100.646,2.988,1.747
2.275,-100.512,2.941,0.654
2.3,-100.608,3.212,1.326
2.325,-100.909,3.455,2.215
2.35,-101.525,4.278,1.417
2.375,-101.179,3.703,1.625
2.4,-101.823,3.644,1.714
2.425,-101.839,3.688,2.252
2.45,-102.28,4.183,2.635
2.475,-103.786,2.296,2.171
2.5,-102.163,4.128,1.547
2.525,-102.307,3.618,1.344
2.55,-102.368,2.862,0.346
2.575,-102.199,2.764,0.677
2.6,-101.905,2.978,1.932
2.625,-102.963,2.736,4.571
2.65,-102.283,2.81,1.945
2.675,-102.507,3.348,-0.818
2.7,-102.196,3.508,1.806
2.725,-102.89,3.156,2.642
2.75,-105.447,3.938,1.848
2.775,-106.603,2.909,2.312
2.8,-103.433,4.909,4.477
2.825,-101.936,3.8,4.214
2.85,-101.914,3.423,3.997
2.875,-102.194,2.935,2.75
2.9,-101.585,5.857,4.594
2.925,-103.022,5.747,4.681
2.95,-101.155,6.714,5.265
2.975,-99.228,5.817,4.591
3,-98.829,6.243,5.344
3.025,-99.391,5.078,4.126
3.05,-97.068,6.215,2.594
3.075,-96.479,6.651,3.914
3.1,-95.498,5.769,5.429
3.125,-96.277,6.594,6.12
3.15,-95.211,6.756,4.317
3.175,-99.316,5.077,4.346
3.2,-93.039,6.345,1.505
3.225,-91.689,6.599,2.416
3.25,-91.46,4.821,3.232
3.275,-91.169,5.697,3.676
3.3,-90.845,4.36,3.708
3.325,-90.886,4.077,6.092
3.35,-94.766,8.186,3.803
3.375,-91.791,6.16,2.898
3.4,-88.388,6.51,1.788
3.425,-87.292,6.045,4.014
3.45,-86.349,5.834,5.033
3.475,-85.039,4.647,5.359
3.5,-85.582,7.341,4.698
3.525,-84.865,4.145,5.857
3.55,-87.616,5.227,5.655
3.575,-82.973,5.16,7.551
3.6,-82.695,5.882,7.713
3.625,-82.382,7.294,7.355
3.65,-81.57,3.816,6.148
3.675,-80.35,5.308,6.646
3.7,-78.711,6.454,5.85
3.725,-77.683,6.19,5.92
3.75,-76.597,6.778,4.49
3.775,-76.557,7.964,5.723
3.8,-75.838,6.775,7.783
3.825,-75.533,7.707,7.9
3.85,-73.097,8.558,9.349
3.875,-75.957,8.515,7.899
3.9,-72.633,7.604,7.822
3.925,-70.784,5.996,7.064
3.95,-69.806,6.368,7.156
3.975,-69.383,5.636,7.079
4,-67.507,6.349,7.153
4.025,-67.873,6.191,8.253
4.05,-65.823,5.512,7.475
4.075,-67.225,5.596,8.766
4.1,-64.505,3.886,9.507
4.125,-62.589,6.435,6.523
4.15,-61.787,5.996,7.371
4.175,-60.158,6.896,7.447
4.2,-59.508,6.624,6.237
4.225,-59.293,7.399,6.981
4.25,-59.413,5.237,11.26
4.275,-55.835,5.64,6.177
4.3,-54.921,6.02,5.705
4.325,-54.824,9.933,7.526
4.35,-54.847,9.377,8.009
4.375,-53.587,9.178,8.149
4.4,-52.261,7.994,8.101
4.425,-49.978,7.143,7.742
4.45,-49.406,5.395,8.033
4.475,-48.084,6.055,7.064
4.5,-47.405,6.163,7.495
4.525,-46.087,4.999,8.105
4.55,-45.084,5.61,8.123
4.575,-44.632,5.824,8.924
4.6,-43.435,6.621,10.749
4.625,-43.498,7.18,9.345
4.65,-41.765,7.331,7.986
4.675,-40.197,6.882,9.138
4.7,-39.575,6.256,9.088
