Telemetry ID:  2, Ref Time:     42000000, Body length: 34, :‚r‚‚ºÂŠŠbj‚‚r‚¢²¢’ŠbZ‚‚rŠ‚‚‚Š‚R²¢
(
Telemetry ID:  2, Ref Time:    682000000, Body length: 122, :$VNYMR,+107.170,+005.637,-001.636,-00.3088,-00.9201,+01.2014,+01.028,+00.283,-09.831,-00.004204,+00.037267,+00.084526*6B

Telemetry ID:  2, Ref Time:    706000000, Body length: 122, :$VNYMR,+107.287,+005.701,-001.633,-00.3502,-00.8995,+01.1933,+01.017,+00.306,-09.841,-00.005414,+00.043226,+00.081361*69

Telemetry ID:  2, Ref Time:    732000000, Body length: 122, :$VNYMR,+107.401,+005.770,-001.630,-00.3090,-00.9201,+01.2177,+01.009,+00.285,-09.866,-00.005287,+00.046414,+00.075851*6B

Telemetry ID:  2, Ref Time:    756000000, Body length: 122, :$VNYMR,+107.507,+005.838,-001.629,-00.3433,-00.8996,+01.2096,+00.961,+00.269,-09.829,-00.007548,+00.044862,+00.073488*68

Telemetry ID:  2, Ref Time:    782000000, Body length: 122, :$VNYMR,+107.609,+005.900,-001.630,-00.3300,-00.9266,+01.2089,+00.933,+00.276,-09.812,-00.008849,+00.040424,+00.072085*6B

Telemetry ID:  2, Ref Time:    806000000, Body length: 122, :$VNYMR,+107.702,+005.950,-001.633,-00.3433,-00.8996,+01.2015,+00.912,+00.280,-09.781,-00.009552,+00.032724,+00.059961*65

Telemetry ID:  2, Ref Time:    832000000, Body length: 122, :$VNYMR,+107.789,+005.985,-001.639,-00.3367,-00.9131,+01.2093,+00.930,+00.291,-09.782,-00.011545,+00.020084,+00.057151*6F

Telemetry ID:  2, Ref Time:    856000000, Body length: 122, :$VNYMR,+107.868,+006.002,-001.649,-00.3649,-00.9262,+01.2083,+00.914,+00.251,-09.787,-00.013936,+00.005917,+00.049705*69

Telemetry ID:  2, Ref Time:    881000000, Body length: 122, :$VNYMR,+107.937,+006.001,-001.660,-00.3367,-00.9198,+01.1928,+00.910,+00.309,-09.808,-00.014247,-00.006411,+00.043619*6C

Telemetry ID:  2, Ref Time:    906000000, Body length: 122, :$VNYMR,+107.999,+005.980,-001.673,-00.3573,-00.8994,+01.2094,+00.927,+00.278,-09.841,-00.012866,-00.018464,+00.041221*63

Telemetry ID:  2, Ref Time:    932000000, Body length: 122, :$VNYMR,+108.058,+005.944,-001.686,-00.3434,-00.9063,+01.2013,+00.929,+00.280,-09.821,-00.012582,-00.029455,+00.036607*6F

Telemetry ID:  2, Ref Time:    956000000, Body length: 122, :$VNYMR,+108.108,+005.895,-001.699,-00.3709,-00.8926,+01.1850,+00.937,+00.279,-09.811,-00.012639,-00.036346,+00.030912*6F

Telemetry ID:  2, Ref Time:    982000000, Body length: 122, :$VNYMR,+108.154,+005.839,-001.709,-00.3370,-00.9332,+01.1923,+00.962,+00.280,-09.822,-00.010454,-00.039986,+00.026852*6F

Telemetry ID:  1, Ref Time:    102000000, Body length: 39, :$GPGGA,001036.799,,,,,0,0,,,M,,M,,*4B
370,-00.9332,+01.1923,+00.962,+00.280,-09.822,-00.010454,-00.039986,+00.026852*6F

Telemetry ID:  1, Ref Time:    134000000, Body length: 30, :$GPGSA,A,1,,,,,,,,,,,,,,,*1E
,M,,*4B
370,-00.9332,+01.1923,+00.962,+00.280,-09.822,-00.010454,-00.039986,+00.026852*6F

Telemetry ID:  1, Ref Time:    186000000, Body length: 49, :$GPRMC,001036.799,V,,,,,0.00,0.00,060180,,,N*41
32,+01.1923,+00.962,+00.280,-09.822,-00.010454,-00.039986,+00.026852*6F

Telemetry ID:  1, Ref Time:    224000000, Body length: 37, :$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
180,,,N*41
32,+01.1923,+00.962,+00.280,-09.822,-00.010454,-00.039986,+00.026852*6F

Telemetry ID:  2, Ref Time:   1006000000, Body length: 122, :$VNYMR,+108.195,+005.781,-001.718,-00.3364,-00.9064,+01.2014,+00.975,+00.236,-09.815,-00.007878,-00.039793,+00.024205*6E

Telemetry ID:  2, Ref Time:   1032000000, Body length: 122, :$VNYMR,+108.230,+005.727,-001.724,-00.3577,-00.9195,+01.2006,+01.002,+00.254,-09.774,-00.006807,-00.036127,+00.021057*62

Telemetry ID:  2, Ref Time:   1057000000, Body length: 122, :$VNYMR,+108.255,+005.683,-001.727,-00.3504,-00.9062,+01.2012,+01.042,+00.294,-09.754,-00.003158,-00.029103,+00.012649*68

Telemetry ID:  2, Ref Time:   1082000000, Body length: 122, :$VNYMR,+108.267,+005.651,-001.724,-00.3436,-00.9130,+01.2092,+01.038,+00.263,-09.748,+00.000671,-00.019965,+00.003412*6D

Telemetry ID:  2, Ref Time:   1107000000, Body length: 122, :$VNYMR,+108.268,+005.634,-001.721,-00.3439,-00.9264,+01.2006,+01.079,+00.267,-09.869,+00.002994,-00.009507,-00.004694*6B

Telemetry ID:  2, Ref Time:   1131000000, Body length: 122, :$VNYMR,+108.249,+005.634,-001.714,-00.3366,-00.9198,+01.1847,+01.046,+00.254,-09.882,+00.006593,+00.003385,-00.018890*6C

Telemetry ID:  2, Ref Time:   1156000000, Body length: 122, :$VNYMR,+108.216,+005.651,-001.705,-00.3643,-00.9061,+01.2009,+01.045,+00.293,-09.865,+00.008163,+00.016116,-00.027082*6E

Telemetry ID:  2, Ref Time:   1182000000, Body length: 122, :$VNYMR,+108.169,+005.686,-001.697,-00.3433,-00.9063,+01.1851,+01.029,+00.270,-09.819,+00.010480,+00.027752,-00.034463*64

Telemetry ID:  2, Ref Time:   1207000000, Body length: 122, :$VNYMR,+108.114,+005.736,-001.689,-00.3436,-00.9130,+01.2092,+00.998,+00.281,-09.782,+00.008324,+00.037837,-00.040151*66

