Time,Temp,Pressure
100000000,280,100031
200000000,280,100027
300000000,280,100027
400000000,280,100033
500000000,280,100034
600000000,280,100034
700000000,280,100025
800000000,280,100031
900000000,280,100028
1000000000,280,100034
1100000000,281,100032
1200000000,281,100032
1300000000,280,100034
1400000000,281,100041
1500000000,281,100029
1600000000,281,100035
1700000000,281,100038
1800000000,281,100035
1900000000,281,100035
2000000000,281,100036
2100000000,281,100036
2200000000,281,100032
2300000000,281,100030
2400000000,281,100030
2500000000,281,100036
2600000000,281,100021
2700000000,281,100030
2800000000,281,100034
2900000000,281,100034
3000000000,281,100034
3100000000,281,100031
3200000000,281,100037
3300000000,281,100031
3400000000,281,100034
3500000000,281,100031
3600000000,281,100034
3700000000,281,100034
3800000000,281,100032
3900000000,281,100035
4000000000,281,100034
4100000000,281,100035
4200000000,281,100036
4300000000,281,100032
4400000000,281,100032
4500000000,281,100039
4600000000,281,100036
4700000000,281,100030
4800000000,281,100026
4900000000,281,100030
5000000000,281,100030
5100000000,281,100031
5200000000,281,100028
5300000000,281,100034
5400000000,281,100031
5500000000,281,100030
5600000000,281,100040
5700000000,281,100034
5800000000,281,100034
5900000000,281,100034
6000000000,281,100031
6100000000,281,100035
6200000000,281,100038
6300000000,281,100025
6400000000,281,100028
6500000000,281,100031
6600000000,282,100036
6700000000,282,100030
6800000000,282,100042
6900000000,282,100043
7000000000,282,100040
7100000000,282,100033
7200000000,282,100033
7300000000,282,100043
7400000000,282,100040
7500000000,282,100037
7600000000,282,100040
7700000000,282,100031
7800000000,282,100031
7900000000,282,100031
8000000000,282,100034
8100000000,282,100034
8200000000,282,100031
8300000000,282,100034
8400000000,282,100038
8500000000,282,100039
8600000000,282,100038
8700000000,282,100035
8800000000,282,100041
8900000000,282,100043
9000000000,282,100040
9100000000,282,100042
9200000000,282,100036
9300000000,282,100037
9400000000,282,100040
9500000000,282,100040
9600000000,282,100037
9700000000,282,100046
9800000000,282,100043
9900000000,282,100034
10000000000,282,100041
10100000000,282,100037
10200000000,282,100034
10300000000,282,100031
10400000000,282,100038
10500000000,282,100035
10600000000,282,100028
10700000000,282,100035
10800000000,282,100032
10900000000,282,100038
11000000000,282,100035
11100000000,282,100039
11200000000,282,100038
11300000000,282,100038
11400000000,282,100042
11500000000,283,100039
11600000000,283,100043
11700000000,283,100042
11800000000,283,100046
11900000000,283,100040
12000000000,283,100043
12100000000,283,100040
12200000000,283,100043
12300000000,283,100043
12400000000,283,100040
12500000000,283,100040
12600000000,283,100050
12700000000,283,100047
12800000000,283,100038
12900000000,283,100042
13000000000,283,100039
13100000000,283,100041
13200000000,283,100038
13300000000,283,100044
13400000000,283,100032
13500000000,283,100035
13600000000,283,100042
13700000000,283,100043
13800000000,283,100039
13900000000,283,100039
14000000000,283,100033
14100000000,283,100039
14200000000,283,100040
