,Time,AccelX,AccelY,AccelZ,AccelX_G,,,,,,,,,,,,,,,,,
63826,-0.85,-9.792,-0.166,0.015,-0.999183673,,,,,,,,,,,,,,,,,
63827,-0.825,-9.773,-0.166,0.135,-0.997244898,,,,,,,,,,,,,,,,,
63828,-0.8,-9.782,-0.096,0.121,-0.998163265,,,,,,,,,,,,,,,,,
63829,-0.775,-9.767,-0.057,0.03,-0.996632653,,,,,,,,,,,,,,,,,
63830,-0.75,-9.791,-0.2,-0.022,-0.999081633,,,,,,,,,,,,,,,,,
63831,-0.725,-9.796,-0.238,0.006,-0.999591837,,,,,,,,,,,,,,,,,
63832,-0.7,-9.807,-0.251,0.099,-1.000714286,,,,,,,,,,,,,,,,,
63833,-0.675,-9.79,-0.296,0.113,-0.998979592,,,,,,,,,,,,,,,,,
63834,-0.65,-9.783,-0.403,0.057,-0.998265306,,,,,,,,,,,,,,,,,
63835,-0.625,-9.777,-0.407,0.034,-0.997653061,,,,,,,,,,,,,,,,,
63836,-0.6,-9.78,-0.209,-0.06,-0.997959184,,,,,,,,,,,,,,,,,
63837,-0.575,-9.777,0.006,-0.015,-0.997653061,,,,,,,,,,,,,,,,,
63838,-0.55,-9.773,-0.071,0.057,-0.997244898,,,,,,,,,,,,,,,,,
63839,-0.525,-9.775,-0.255,0.059,-0.99744898,,,,,,,,,,,,,,,,,
63840,-0.5,-9.765,-0.189,-0.052,-0.996428571,,,,,,,,,,,,,,,,,
63841,-0.475,-9.784,-0.066,-0.063,-0.998367347,,,,,,,,,,,,,,,,,
63842,-0.45,-9.778,-0.008,0.009,-0.997755102,,,,,,,,,,,,,,,,,
63843,-0.425,-9.817,-0.172,0.078,-1.001734694,,,,,,,,,,,,,,,,,
63844,-0.4,-9.77,-0.194,0.044,-0.996938776,,,,,,,,,,,,,,,,,
63845,-0.375,-9.785,-0.116,-0.021,-0.998469388,,,,,,,,,,,,,,,,,
63846,-0.35,-9.799,-0.031,-0.031,-0.999897959,,,,,,,,,,,,,,,,,
63847,-0.325,-9.792,-0.134,0.016,-0.999183673,,,,,,,,,,,,,,,,,
63848,-0.3,-9.823,-0.206,0.127,-1.002346939,,,,,,,,,,,,,,,,,
63849,-0.275,-9.777,-0.149,0.066,-0.997653061,,,,,,,,,,,,,,,,,
63850,-0.25,-9.772,-0.101,-0.04,-0.997142857,,,,,,,,,,,,,,,,,
63851,-0.225,-9.784,-0.156,-0.008,-0.998367347,,,,,,,,,,,,,,,,,
63852,-0.2,-9.788,-0.257,0.066,-0.99877551,,,,,,,,,,,,,,,,,
63853,-0.175,-9.775,-0.2,0.081,-0.99744898,,,,,,,,,,,,,,,,,
63854,-0.15,-9.761,-0.236,0.013,-0.996020408,,,,,,,,,,,,,,,,,
63855,-0.125,-9.734,-0.203,0,-0.993265306,,,,,,,,,,,,,,,,,
63856,-0.1,-9.804,-0.286,0.068,-1.000408163,,,,,,,,,,,,,,,,,
63857,-0.075,-9.765,-0.273,0.031,-0.996428571,,,,,,,,,,,,,,,,,
63858,-0.05,-9.828,-0.181,0.093,-1.002857143,,,,,,,,,,,,,,,,,
63859,-0.025,-9.874,-0.281,0.077,-1.00755102,,,,,,,,,,,,,,,,,
